Site Name,Site Type,Latitude,Longitude,Country,Country ISO3,Site Area (m2),Waste in Place (tons),Emissions: Modeled (tons CH4/year),Emissions Uncertainty: Modeled (tons CH4/year),Emissions Source: Modeled,Emissions: Satellite (tons CH4/year),Emissions Uncertainty: Satellite (tons CH4/year),Emissions Source: Satellite,Site Area (m2),Waste in Place Year,Site Open Year,Site Close Year,Site Status,Climate TRACE ID,GHGRP ID,Most Recent Plume Filename
"Sumberjaya, West Java, 17519, Indonesia",Dumpsites,-6.21124310155198,107.08332505625397,Indonesia,IDN,3615105.152,158168.3268,2740.263599,,Climate TRACE,,,,3615105.152,2021,,,,1835961607,,
"Mathura Das Pura, Jamwa Ramgarh Tehsil, Jaipur, Rajasthan, 302027, India, Site 2",Dumpsites,26.955230477607483,75.94105025193427,India,IND,2929752.509,151821.0458,2413.279504,,Climate TRACE,,,,2929752.509,2021,,,,1835961747,,
"Aranyaprathet, Fak Huai, Sa Kaeo Province, 27121, Thailand, Site 2",Dumpsites,13.668674361665142,102.52898310694064,Thailand,THA,3604928.74,157723.0877,2732.549839,,Climate TRACE,,,,3604928.74,2021,,,,1835961608,,
"Zimbo, Gamboa, Cairu, Região Geográfica Imediata De Valença, Região Geográfica Intermediária De Santo Antônio De Jesus, Bahia, Northeast Region, 45428-000, Brazil",Dumpsites,-13.415007186335245,-38.92676323186722,Brazil,BRA,2287439.49,146347.1526,2413.239848,,Climate TRACE,,,,2287439.49,2021,,,,1835961748,,
"Los Cazabes, Santo Domingo Norte, Santo Domingo, 201, Dominican Republic",Dumpsites,18.566385699367476,-69.96468229499585,Dominican Republic,DOM,2586338.716,165470.3035,2728.57738,,Climate TRACE,,,,2586338.716,2021,,,,1835961609,,
"Ifako/Ijaye, Lagos, Nigeria",Dumpsites,6.657646152123665,3.353785136354277,Nigeria,NGA,2925630.962,199466.7768,2412.886181,,Climate TRACE,,,,2925630.962,2021,,,,1835961749,,
Pahrump Valley Sanitary Landfill,Sanitary Landfill,36.2465,-115.9826,United States,USA,1159384.334,64830.0,2720.275923,,Climate TRACE,,,,1159384.334,2021,,,,1835961610,,
Cedar Rapids Linn County Solid Waste Landfill #2,Sanitary Landfill,42.09371,-91.55547,United States,USA,4059363.116,256381.0,2407.49,,Climate TRACE,,,,4059363.116,2021,,,,1835961750,,
"Sihanoukville, Krong Preah Sihanouk, Khaet Preah Sihanouk, 180000, Cambodia",Dumpsites,10.630595783547468,103.54695310081458,Cambodia,KHM,3588439.476,157001.6483,2720.050914,,Climate TRACE,,,,3588439.476,2021,,,,1835961611,,
Gregadoo Waste Management Centre,Sanitary Landfill,-35.2101248785723,147.381312847137,Australia,AUS,1016957.885,69285.98176,2400.756935,,Climate TRACE,,,,1016957.885,2021,,,,1835961751,,
Bovoni Landfill,Sanitary Landfill,18.313,-64.8855,United States,USA,3016723.867,96908.3965,2719.069897,,Climate TRACE,,,,3016723.867,2021,,,,1835961612,,
Belrose Landfill,Sanitary Landfill,-33.7163785313318,151.208669543266,Australia,AUS,1016957.885,69285.98176,2400.756935,,Climate TRACE,,,,1016957.885,2021,,,,1835961752,,
New Hanover County Secure Landfill,Sanitary Landfill,34.31948,-77.99035,United States,USA,6030450.968,330164.0,2718.69,,Climate TRACE,,,,6030450.968,2021,,,,1835961613,,
"Samut Sakhon, Khlong Maduea, Samut Sakhon Province, 74000, Thailand",Dumpsites,13.614323775622822,100.2865288126332,Thailand,THA,3164665.072,138460.6417,2398.828287,,Climate TRACE,,,,3164665.072,2021,,,,1835961753,,
R & B (Banks) Landfill,Sanitary Landfill,34.35184,-83.42719,United States,USA,16714609.43,764651.5,2715.08,,Climate TRACE,,,,16714609.43,2021,,,,1835961614,,
Lagoon,Dumpsites,4.8275,31.505699,South Sudan,SSD,2453745.048,234092.3469,2395.010954,,Climate TRACE,,,,2453745.048,2021,,,,1835961754,,
Mesquite Sanitary Landfill,Sanitary Landfill,36.8922,-114.0759,United States,USA,1157095.252,64702.0,2714.905025,,Climate TRACE,,,,1157095.252,2021,,,,1835961615,,
"Khun Krathing, Chumphon Province, Thailand",Dumpsites,10.545874441586449,99.11186927859482,Thailand,THA,3158897.655,138208.3053,2394.456563,,Climate TRACE,,,,3158897.655,2021,,,,1835961755,,
Allen County Lf,Sanitary Landfill,37.90316,-95.2808,United States,USA,1278669.465,30900.0,2713.83,,Climate TRACE,,,,1278669.465,2021,,,,1835961616,,
"Jako-Petedo, Ado Odo/Ota, Ogun, Nigeria",Dumpsites,6.501001607051792,3.083699486485361,Nigeria,NGA,2901928.425,197850.76,2393.337741,,Climate TRACE,,,,2901928.425,2021,,,,1835961756,,
Cumberland County Ann Street Landfill,Sanitary Landfill,35.065,-78.868,United States,USA,4826885.721,165038.0,2712.74,,Climate TRACE,,,,4826885.721,2021,,,,1835961617,,
Rolling Meadows Lf,Sanitary Landfill,39.17906,-95.72004,United States,USA,10026654.89,226128.5,2393.26,,Climate TRACE,,,,10026654.89,2021,,,,1835961757,,
Blossom Prairie Landfill,Sanitary Landfill,33.623,-95.335,United States,USA,1868644.302,198462.2856,2708.3,,Climate TRACE,,,,1868644.302,2021,,,,1835961618,,
Sr247 Msw Landfill,Sanitary Landfill,32.399561,-83.55573,United States,USA,3544817.706,147829.0,2393.04,,Climate TRACE,,,,3544817.706,2021,,,,1835961758,,
"Tanjung Langsat Industrial Complex, Pasir Gudang, Johor Bahru, Iskandar Malaysia, Johor, 81700, Malaysia, Site 2",Dumpsites,1.472648413363123,103.9943325891415,Malaysia,MYS,2380760.487,104163.195,2706.938399,,Climate TRACE,,,,2380760.487,2021,,,,1835961619,,
L.P. Gill Lf,Sanitary Landfill,42.47269,-96.61456,United States,USA,5732149.253,238705.0,2392.77,,Climate TRACE,,,,5732149.253,2021,,,,1835961759,,
North 48Th Street Landfill,Sanitary Landfill,40.87,-96.65,United States,USA,6432098.259,28581.0,2705.65,,Climate TRACE,,,,6432098.259,2021,,,,1835961620,,
Coastal Plains Rdf,Sanitary Landfill,29.424167,-95.190834,United States,USA,21436021.2,23629279.0,2388.58,,Climate TRACE,11717.475031799999,4868.79856329,Carbon Mapper,21436021.2,2021,1986.0,2036.0,Open,1835961760,1003646.0,ang20220610t201320-B_l3a-ch4-mf-v1_plume.tif
Medora Slf,Sanitary Landfill,38.8671,-86.1997,United States,USA,6363278.627,399263.0,2702.9,,Climate TRACE,,,,6363278.627,2021,,,,1835961621,,
City Of Albemarle Lf,Sanitary Landfill,35.3173,-80.1658,United States,USA,2308659.211,49440.16,2383.67,,Climate TRACE,,,,2308659.211,2021,,,,1835961761,,
Cullman Environmental Waste Management Center,Sanitary Landfill,34.02878,-86.90069,United States,USA,1871137.145,88857.0,2700.25,,Climate TRACE,,,,1871137.145,2021,,,,1835961622,,
"Nanping Nongchang, Lingshui Li Autonomous County, Hainan Province, China",Dumpsites,18.56141246009497,109.92881218565341,China,CHN,3142475.199,137489.7889,2382.008278,,Climate TRACE,,,,3142475.199,2021,,,,1835961762,,
"Tamontaka 3, Cotabato City, Bangsamoro, Philippines, Site 2",Dumpsites,7.190424756763252,124.27601770595201,Philippines,PHL,3561480.606,155822.142,2699.615986,,Climate TRACE,,,,3561480.606,2021,,,,1835961623,,
"Nakhon Nayok Province, Thailand, Site 1",Dumpsites,14.212275232830526,101.14263699135762,Thailand,THA,3141441.812,137444.5761,2381.224967,,Climate TRACE,,,,3141441.812,2021,,,,1835961763,,
Broadhurst Environmental Landfill,Sanitary Landfill,31.4708,-81.9411,United States,USA,12723454.59,358702.6641,2696.61,,Climate TRACE,,,,12723454.59,2021,,,,1835961624,,
"Cw 3, Sour, Aïn Tedles District, Mostaganem, 27001, Algeria",Dumpsites,35.97291023255564,0.31916833245458,Algeria,DZA,2029607.064,166014.9821,2380.122252,,Climate TRACE,,,,2029607.064,2021,,,,1835961764,,
Betim,Sanitary Landfill,-20.0168934632386,-44.236900806427,Brazil,BRA,1162165.553,81669.31015,2693.426284,,Climate TRACE,,,,1162165.553,2021,,,,1835961625,,
"Rajamahendravaram, Rajahmundry (Urban), East Godavari, Andhra Pradesh, 533100, India",Dumpsites,17.028837761988445,81.78005767601127,India,IND,2888799.225,149698.8288,2379.545692,,Climate TRACE,,,,2888799.225,2021,,,,1835961765,,
"Nông Cống District, Thanh Hoa Province, Vietnam",Dumpsites,19.657172840395862,105.64530535837778,Vietnam,VNM,3553047.393,155453.1715,2693.223579,,Climate TRACE,,,,3553047.393,2021,,,,1835961626,,
"Rruga Drini I Zi, Kukës, Bashkia Kukës, Kukës County, Northern Albania, 8501, Albania",Dumpsites,42.070032297187815,20.40177236503236,Albania,ALB,2759265.466,154802.0339,2379.463502,,Climate TRACE,,,,2759265.466,2021,,,,1835961766,,
City Of Nacogdoches Landfill,Sanitary Landfill,31.65,-94.673334,United States,USA,2260774.851,78807.1391,2692.16,,Climate TRACE,,,,2260774.851,2021,,,,1835961627,,
"La Libertad, Jaime, Parroquia Cocorote, Municipio Cocorote, Yaracuy State, 3208, Venezuela",Dumpsites,10.30073407263861,-68.79563333220842,"Venezuela, RB",VEN,2255146.541,144281.0952,2379.170911,,Climate TRACE,,,,2255146.541,2021,,,,1835961767,,
Puente Hills Lf,Sanitary Landfill,34.02033,-118.00604,United States,USA,129047478.1,1936796.0,2688.01,,Climate TRACE,,,,129047478.1,2021,,,,1835961628,,
Zion Landfill,Sanitary Landfill,42.48483,-87.88497,United States,USA,21552094.3,721599.0,2378.81,,Climate TRACE,,,,21552094.3,2021,,,,1835961768,,
Concord Turnpike Regional Landfill,Sanitary Landfill,37.392,-79.109,United States,USA,3757328.031,4245.6246,2687.54,,Climate TRACE,,,,3757328.031,2021,,,,1835961629,,
"Masjid El Bachir El Ibrahimi, Rue Hamiz 5, Hamiz 5, Si Smail, Burj Al Kifan, Dar El Beida District, Algiers, 16017, Algeria",Dumpsites,36.73915841529886,3.2395826624347,Algeria,DZA,2027979.841,165881.8808,2378.214006,,Climate TRACE,,,,2027979.841,2021,,,,1835961769,,
"Mdr61, Murtijapur, Akola, Maharashtra, India",Dumpsites,20.722463493038354,77.37985911365514,India,IND,3262022.893,169039.4412,2686.975424,,Climate TRACE,,,,3262022.893,2021,,,,1835961630,,
"Badagry, Lagos, Nigeria",Dumpsites,6.437663846232713,2.87043911761398,Nigeria,NGA,2882807.745,196547.13,2377.568143,,Climate TRACE,,,,2882807.745,2021,,,,1835961770,,
Mallard Ridge Landfill Inc.,Sanitary Landfill,42.64412,-88.7218,United States,USA,10606578.92,200678.0,2686.45,,Climate TRACE,,,,10606578.92,2021,,,,1835961631,,
"Baddi, Solan, Himachal Pradesh, 173205, India",Dumpsites,30.93467117967592,76.77396603327448,India,IND,2877162.717,149095.8199,2369.960531,,Climate TRACE,,,,2877162.717,2021,,,,1835961771,,
"Ward 26, Kishangarh, Chandigarh, 160101, India",Dumpsites,30.723539691419546,76.82761511816693,India,IND,3259877.498,168928.2659,2685.20823,,Climate TRACE,,,,3259877.498,2021,,,,1835961632,,
City Of Baton Rouge/Ebrp Renewable Energy Center,Sanitary Landfill,30.55,-91.2,United States,USA,7678612.514,221218.0,2369.88,,Climate TRACE,,,,7678612.514,2021,,,,1835961772,,
Knott Landfill,Sanitary Landfill,44.01,-121.255,United States,USA,4204919.909,199113.0,2681.31,,Climate TRACE,,,,4204919.909,2021,,,,1835961633,,
"Pangadegan, Tangerang Regency, Banten, 16551, Indonesia",Dumpsites,-6.135471110007818,106.56467632277385,Indonesia,IDN,3126469.187,136789.4928,2369.875659,,Climate TRACE,,,,3126469.187,2021,,,,1835961773,,
"Ifo, Ogun, 100581, Nigeria",Dumpsites,6.657164960207177,3.357474909142928,Nigeria,NGA,3246167.881,221320.6835,2677.245943,,Climate TRACE,,,,3246167.881,2021,,,,1835961634,,
Menominee Landfill,Sanitary Landfill,45.17373,-87.62938,United States,USA,5250888.483,144720.6,2367.84,,Climate TRACE,,,,5250888.483,2021,,,,1835961774,,
Moccasin Mike Slf,Sanitary Landfill,46.671,-91.9665,United States,USA,2566306.046,114830.0,2670.04,,Climate TRACE,,,,2566306.046,2021,,,,1835961635,,
Albany Landfill,Sanitary Landfill,42.7036,-73.8466,United States,USA,8955697.647,66415.0,2367.75,,Climate TRACE,,,,8955697.647,2021,,,,1835961775,,
Orchard Ridge Rdf,Sanitary Landfill,43.188,-88.0765,United States,USA,34101000.47,788261.9,2668.27,,Climate TRACE,,,,34101000.47,2021,,,,1835961636,,
Bordeaux Landfill,Sanitary Landfill,36.18,-86.84,United States,USA,7304887.674,88808.0,2363.24,,Climate TRACE,,,,7304887.674,2021,,,,1835961776,,
Ottawa County Farms Landfill,Sanitary Landfill,43.0502,-85.95682,United States,USA,26545295.25,718534.8095,2667.79,,Climate TRACE,,,,26545295.25,2021,,,,1835961637,,
"Thane, Dombivali, Mumbai Metropolitan Region, Thane, Maharashtra, 400612, India",Dumpsites,19.175385775735684,73.03852794660779,India,IND,2861643.967,148291.6316,2357.177513,,Climate TRACE,,,,2861643.967,2021,,,,1835961777,,
"Ugbenuowhorun, Uvwie, Delta, Nigeria",Dumpsites,5.542532079448576,5.81648686966639,Nigeria,NGA,3233081.585,220428.4721,2666.453146,,Climate TRACE,,,,3233081.585,2021,,,,1835961638,,
City Of Tifton / Omega / Eldorado Road Lf,Sanitary Landfill,31.357773,-83.536981,United States,USA,1546572.226,51736.37,2355.63,,Climate TRACE,,,,1546572.226,2021,,,,1835961778,,
Leon County Landfill,Sanitary Landfill,30.42153,-84.144,United States,USA,4227543.789,278.72,2666.32,,Climate TRACE,,,,4227543.789,2021,,,,1835961639,,
"Atladara Sewage Treatment Plant, Akshar Chawk, Vadodara, Vadodara Taluka, Vadodara District, Gujarat, 390001, India",Dumpsites,22.2791687868323,73.16836760547713,India,IND,2859207.121,148165.3532,2355.170248,,Climate TRACE,,,,2859207.121,2021,,,,1835961779,,
Dozit Company Inc. Landfill,Sanitary Landfill,37.743,-87.9737,United States,USA,1834920.462,34319.9965,2661.39,,Climate TRACE,,,,1834920.462,2021,,,,1835961640,,
Venice Park Recycling & Disposal Facility,Sanitary Landfill,42.979932,-83.972657,United States,USA,10454552.23,275389.5,2354.75,,Climate TRACE,,,,10454552.23,2021,,,,1835961780,,
Cottonwood Hills Lf,Sanitary Landfill,38.26,-89.78,United States,USA,7722667.587,271568.0,2658.47,,Climate TRACE,,,,7722667.587,2021,,,,1835961641,,
Franklin County Landfill,Sanitary Landfill,36.99,-79.9,United States,USA,1630051.89,50680.0,2353.12,,Climate TRACE,,,,1630051.89,2021,,,,1835961781,,
Eco Hill Landfill,Sanitary Landfill,41.41,-90.0,United States,USA,2800573.0,984319.0,2645.14,,Climate TRACE,,,,2800573.0,2021,,,,1835961642,,
"Los Tanques, Villa De Cura, Parroquia Zamora, Municipio Zamora, Aragua State, 2126, Venezuela",Dumpsites,10.049667110152898,-67.52809555508574,"Venezuela, RB",VEN,2229866.733,142663.7288,2352.500812,,Climate TRACE,,,,2229866.733,2021,,,,1835961782,,
"Blang Mangat, Lhokseumawe, Aceh, Indonesia",Dumpsites,5.129283996790623,97.11919902643916,Indonesia,IDN,3486804.745,152554.9186,2643.011397,,Climate TRACE,,,,3486804.745,2021,,,,1835961643,,
Cedar Grove Landfill,Sanitary Landfill,33.085973,-84.208563,United States,USA,1526457.739,87646.0,2350.75,,Climate TRACE,,,,1526457.739,2021,,,,1835961783,,
Cheyenne Landfill,Sanitary Landfill,41.135,-105.005,United States,USA,3874777.689,57140.0,2642.57,,Climate TRACE,,,,3874777.689,2021,,,,1835961644,,
Foothills Environmental Landfill,Sanitary Landfill,35.915,-81.593,United States,USA,6130880.419,6758202.0,2349.43,,Climate TRACE,5965.319173146,3421.0416375480004,Carbon Mapper,6130880.419,2021,1998.0,2039.0,Open,1835961784,1007044.0,ang20220927t173614-A_l3a-ch4-mf-v1_plume.tif
"Rohtak, Haryana, 124001, India",Dumpsites,28.877924393284328,76.55313973608402,India,IND,3207243.048,166200.7259,2641.852473,,Climate TRACE,,,,3207243.048,2021,,,,1835961645,,
"Idimu, Alimosho, Lagos, Nigeria",Dumpsites,6.564398096774376,3.25293359670195,Nigeria,NGA,2848198.565,194187.5086,2349.024552,,Climate TRACE,,,,2848198.565,2021,,,,1835961785,,
Spsa Regional Lf,Sanitary Landfill,36.759,-76.522,United States,USA,18945376.31,104478.3132,2638.24421,,Climate TRACE,,,,18945376.31,2021,,,,1835961646,,
El Coqui Landfill,Sanitary Landfill,18.13192,-65.808347,United States,USA,20750057.51,629866.29,2348.85,,Climate TRACE,,,,20750057.51,2021,,,,1835961786,,
Pristina Landfill,Sanitary Landfill,42.6672288646706,21.0625418275594,Kosovo,XKX,929879.1094,85659.75212,2633.353693,,Climate TRACE,,,,929879.1094,2021,,,,1835961647,,
"Taman D' Menara, Bukit Changgang, Kuala Langat, Selangor, 43800, Malaysia",Dumpsites,2.818198277757954,101.64715336607144,Malaysia,MYS,2063336.393,90275.23436,2346.025373,,Climate TRACE,,,,2063336.393,2021,,,,1835961787,,
"Bodinayakkanur, Bodinayakanur, Theni District, Tamil Nadu, 626513, India",Dumpsites,10.071536083074099,77.35001507986298,India,IND,3195764.835,165605.9199,2632.397703,,Climate TRACE,,,,3195764.835,2021,,,,1835961648,,
Jefferson County Landfill,Sanitary Landfill,34.34676,-92.19214,United States,USA,3474269.903,104250.9,2345.6,,Climate TRACE,,,,3474269.903,2021,,,,1835961788,,
Pennsauken Slf,Sanitary Landfill,39.991,-75.0342,United States,USA,6247595.627,79858.0,2632.25,,Climate TRACE,,,,6247595.627,2021,,,,1835961649,,
Southeast Slf,Sanitary Landfill,38.9767,-94.5435,United States,USA,5988448.0,193176.0,2342.077688,,Climate TRACE,,,,5988448.0,2021,,,,1835961789,,
Foz Do Iguasu,Sanitary Landfill,-25.462998289,-54.608488082,Brazil,BRA,1205033.837,79716.26174,2629.015407,,Climate TRACE,,,,1205033.837,2021,,,,1835961650,,
"Municipio De Chiquimula, Chiquimula, 20001, Guatemala",Dumpsites,14.840003031559425,-89.5290426700077,Guatemala,GTM,2217363.146,141863.7669,2339.309575,,Climate TRACE,,,,2217363.146,2021,,,,1835961790,,
S & S Grading Inc. Landfill,Sanitary Landfill,39.22057,-80.40832,United States,USA,2717860.035,52585.9,2626.26,,Climate TRACE,,,,2717860.035,2021,,,,1835961651,,
"Kampong Sungai Paku, Mukim Telisai, Tutong District, Tc1345, Brunei",Dumpsites,4.70737223572274,114.54371648477047,Brunei,BRN,2054386.09,89883.64009,2335.848827,,Climate TRACE,,,,2054386.09,2021,,,,1835961791,,
"Bidor Bypass, Batang Padang, Perak, 35500, Malaysia",Dumpsites,4.066043391565942,101.26811297551158,Malaysia,MYS,2306481.04,100913.3155,2622.482239,,Climate TRACE,,,,2306481.04,2021,,,,1835961652,,
Cedar Rapids Linn County Solid Waste Landfill #1,Sanitary Landfill,41.96469,-91.65193,United States,USA,5443487.0,377.0,2333.86,,Climate TRACE,,,,5443487.0,2021,,,,1835961792,,
Cochise County Western Regional Landfill,Sanitary Landfill,31.718,-110.288,United States,USA,1116374.626,62425.0,2619.361785,,Climate TRACE,,,,1116374.626,2021,,,,1835961653,,
Okeechobee Lf,Sanitary Landfill,27.34104,-80.6966,United States,USA,32055169.93,35335026.0,2333.4,,Climate TRACE,0.0,0.0,Carbon Mapper,32055169.93,2021,1981.0,2094.0,Open,1835961793,1003619.0,GAO20220412t140515p0000-A_l3a-ch4-mf-v1_plume.tif
Georgetown County Subtitle D Lf,Sanitary Landfill,33.4529,-79.3153,United States,USA,2074225.329,82556.0,2619.15,,Climate TRACE,,,,2074225.329,2021,,,,1835961654,,
Jaquira (Haquira),Dumpsites,-13.552149,-72.017254,Peru,PER,2317984.78,141211.6637,2328.556503,,Climate TRACE,,,,2317984.78,2021,,,,1835961794,,
"Nyaung Pin Zauk ညောင်ပင်စောက်, Amarapura Township, Mandalay District, Mandalay, 05062, Myanmar",Dumpsites,21.834407190069747,96.10528432563771,Myanmar,MMR,3449484.928,150922.0995,2614.722833,,Climate TRACE,,,,3449484.928,2021,,,,1835961655,,
Zahle,Sanitary Landfill,33.7981560169531,35.9148129075765,Lebanon,LBN,1051161.41,81185.78422,2327.887388,,Climate TRACE,,,,1051161.41,2021,,,,1835961795,,
"Nagpur Urban Taluka, Nagpur District, Maharashtra, 440035, India",Dumpsites,21.141554090028684,79.15243988501742,India,IND,3172204.512,164385.0137,2612.990724,,Climate TRACE,,,,3172204.512,2021,,,,1835961656,,
Médenine,Sanitary Landfill,33.3910294653028,10.7546965777874,Tunisia,TUN,771161.4101,81185.78422,2327.887388,,Climate TRACE,,,,771161.4101,2021,,,,1835961796,,
Galveston County Lf,Sanitary Landfill,29.3881,-95.0559,United States,USA,17318617.85,423447.5325,2611.15,,Climate TRACE,,,,17318617.85,2021,,,,1835961657,,
"Tulung Buyut, Gedong Pakuon, Bandar Lampung, Lampung, 34223, Indonesia",Dumpsites,-5.458924869604108,105.24001011959501,Indonesia,IDN,3065458.518,134120.1498,2323.629338,,Climate TRACE,,,,3065458.518,2021,,,,1835961797,,
West Central Lf,Sanitary Landfill,40.48156,-122.53498,United States,USA,4816340.218,153950.0,2610.29,,Climate TRACE,,,,4816340.218,2021,,,,1835961658,,
"Kakinada, Kakinada (Urban), Kakinada, Andhra Pradesh, 533001, India",Dumpsites,16.942900145209478,82.25030103033632,India,IND,2820895.202,146180.0129,2323.612166,,Climate TRACE,,,,2820895.202,2021,,,,1835961798,,
"Danişment, Keşan, Edirne, Marmara Region, Turkey",Dumpsites,40.63875147816226,26.44121708734334,Turkey,TUR,2015537.979,113076.97,2607.160737,,Climate TRACE,,,,2015537.979,2021,,,,1835961659,,
"Tungi, Kigamboni Municipal, Dar Es Salaam, Coastal Zone, 3918, Tanzania",Dumpsites,-6.838617969129176,39.314080985410854,Tanzania,TZA,2817022.81,192061.9748,2323.312646,,Climate TRACE,,,,2817022.81,2021,,,,1835961799,,
"Udanuru, Kalaburagi Taluku, Kalaburagi District, Karnataka, 585102, India",Dumpsites,17.283198597840745,76.78489603931169,India,IND,3164665.072,163994.3167,2606.780378,,Climate TRACE,,,,3164665.072,2021,,,,1835961660,,
"Oluvil Junction, Ashraff Nagar, Ampara District, Eastern Province, 409, Sri Lanka",Dumpsites,7.274935371806805,81.7965220304808,Sri Lanka,LKA,2818304.877,146045.7811,2321.478478,,Climate TRACE,,,,2818304.877,2021,,,,1835961800,,
Los Vazquez Sanitary Landfill,Sanitary Landfill,-26.8756840382655,-65.2017545700073,Argentina,ARG,1130000.0,160000.0,2320.043281,,Climate TRACE,,,,1130000.0,2021,,,,1835961801,,
Crisp County Landfill,Sanitary Landfill,31.866967,-83.749031,United States,USA,1745679.789,54618.003,2068.32,,Climate TRACE,,,,1745679.789,2021,,,,1835961941,,
"Vasant Vihar Tehsil, New Delhi, Delhi, 110037, India",Dumpsites,28.533009982976687,77.1271513830284,India,IND,2813495.667,145796.5658,2317.517062,,Climate TRACE,,,,2813495.667,2021,,,,1835961802,,
"Zaatra, Zemmouri, Bordj Menaiel District, Boumerdes, 350, Algeria",Dumpsites,36.771454431408536,3.621694625385637,Algeria,DZA,1762761.392,144187.9102,2067.192063,,Climate TRACE,,,,1762761.392,2021,,,,1835961942,,
Division Of Wildlife Resources Leekay Landfill,Sanitary Landfill,40.73,-112.03,United States,USA,4430759.579,17735334.0,2313.93,,Climate TRACE,750.7974113579999,392.12863273799996,Carbon Mapper,4430759.579,2021,1982.0,2082.0,Open,1835961803,1003471.0,GAO20200802t173243p0000-B_l3a-ch4-mf-v1_plume.tif
Toa Baja Lf,Sanitary Landfill,18.421713,-66.204524,United States,USA,10730363.59,206935.94,2067.04,,Climate TRACE,,,,10730363.59,2021,,,,1835961943,,
"La Lucha, Parroquia Peña, Municipio Peña, Yaracuy State, 3203, Venezuela",Dumpsites,10.042081499914708,-69.12096291702315,"Venezuela, RB",VEN,2187494.602,139952.8196,2307.798376,,Climate TRACE,,,,2187494.602,2021,,,,1835961804,,
Kearney Area Solid Waste Agency Landfill,Sanitary Landfill,40.73,-99.176,United States,USA,1166541.912,49248.3497,2066.467684,,Climate TRACE,,,,1166541.912,2021,,,,1835961944,,
"Yeni Mahalle, Aliaga, Izmir, Aegean Region, 35800, Turkey",Dumpsites,38.81081978163465,27.00586370468044,Turkey,TUR,1783002.925,100031.1433,2306.36945,,Climate TRACE,,,,1783002.925,2021,,,,1835961805,,
"Estação De Transferência De Resíduos Do Jangurussu, 1665, Estrada Do Itaperi, Passaré, Fortaleza, Região Geográfica Imediata De Fortaleza, Região Geográfica Intermediária De Fortaleza, Ceará, Northeast Region, 60862-220, Brazil",Dumpsites,-3.825142337649211,-38.52941078074754,Brazil,BRA,1958229.089,125284.7354,2065.924144,,Climate TRACE,,,,1958229.089,2021,,,,1835961945,,
City Of Garland Castle Drive Landfill,Sanitary Landfill,32.935001,-96.583334,United States,USA,4996730.528,192149.0,2305.98,,Climate TRACE,,,,4996730.528,2021,,,,1835961806,,
Golden Triangle Landfill,Sanitary Landfill,29.993334,-94.169167,United States,USA,10369780.32,433809.3967,2065.76,,Climate TRACE,,,,10369780.32,2021,,,,1835961946,,
Macon Bibb Walker Road Mswl,Sanitary Landfill,32.8,-83.611,United States,USA,4006190.016,10668.77,2305.27,,Climate TRACE,,,,4006190.016,2021,,,,1835961807,,
Newland Park Slf,Sanitary Landfill,38.385,-75.6336,United States,USA,3675232.776,146646.0,2064.24,,Climate TRACE,,,,3675232.776,2021,,,,1835961947,,
Bourne Lf,Sanitary Landfill,41.728,-70.5813,United States,USA,3890900.177,159816.3305,2303.878712,,Climate TRACE,,,,3890900.177,2021,,,,1835961808,,
Winfield Solid Waste Facility,Sanitary Landfill,30.2563,-82.703986,United States,USA,1535182.346,50468.86,2064.09,,Climate TRACE,,,,1535182.346,2021,,,,1835961948,,
Northwest Iowa Area Swa Landfill,Sanitary Landfill,43.1299,-95.894119,United States,USA,2239033.151,59914.0,2302.56,,Climate TRACE,,,,2239033.151,2021,,,,1835961809,,
Upper Piedmont Regional Landfill,Sanitary Landfill,36.324,-78.832,United States,USA,5274295.496,274679.2127,2063.81,,Climate TRACE,,,,5274295.496,2021,,,,1835961949,,
Sand Valley Landfill,Sanitary Landfill,34.342,-85.862,United States,USA,9297479.324,474983.6367,2299.83,,Climate TRACE,,,,9297479.324,2021,,,,1835961810,,
Haverhill Landfill,Sanitary Landfill,42.76464,-71.12504,United States,USA,7315805.16,108380.0,2061.88,,Climate TRACE,,,,7315805.16,2021,,,,1835961950,,
Jastrzebie,Sanitary Landfill,49.96866843,18.6443996,Poland,POL,1081299.965,74779.35585,2298.868348,,Climate TRACE,,,,1081299.965,2021,,,,1835961811,,
"White-Dove Group Of Schools, Erubere Street, Ugborikoko, Delta, Nigeria",Dumpsites,5.534788277124082,5.76584685729742,Nigeria,NGA,2499595.007,170420.0447,2061.517099,,Climate TRACE,,,,2499595.007,2021,,,,1835961951,,
"Kasarwadi, Pimpri-Chinchwad, Haveli, Pune District, Maharashtra, 300054, India",Dumpsites,18.61421201921463,73.8205264257611,India,IND,2789226.378,144538.9207,2297.526098,,Climate TRACE,,,,2789226.378,2021,,,,1835961812,,
"Kolhapur-Miraj Road, Haji Chand Colony, Miraj, Arag, Miraj, Sangli, Maharashtra, 416400, India",Dumpsites,16.80527845348995,74.68442949544502,India,IND,2500709.277,129587.8394,2059.870389,,Climate TRACE,,,,2500709.277,2021,,,,1835961952,,
Cherokee Nation Slf,Sanitary Landfill,35.71223,-94.63732,United States,USA,795769.0,54740.0,2296.898103,,Climate TRACE,,,,795769.0,2021,,,,1835961813,,
